Name,Continent,Population
Afghanistan,Asia,22720000
Albania,Europe,3401200
Algeria,Africa,31471000
American Samoa,Oceania,68000
Andorra,Europe,78000
Angola,Africa,12878000
Anguilla,North America,8000
Antarctica,Antarctica,0
Antigua and Barbuda,North America,68000
Argentina,South America,37032000
Armenia,Asia,3520000
Aruba,North America,103000
Australia,Oceania,18886000
Austria,Europe,8091800
Azerbaijan,Asia,7734000
Bahamas,North America,307000
Bahrain,Asia,617000
Bangladesh,Asia,129155000
Barbados,North America,270000
Belarus,Europe,10236000
Belgium,Europe,10239000
Belize,North America,241000
Benin,Africa,6097000
Bermuda,North America,65000
Bhutan,Asia,2124000
Bolivia,South America,8329000
Bosnia and Herzegovina,Europe,3972000
Botswana,Africa,1622000
Bouvet Island,Antarctica,0
Brazil,South America,170115000
British Indian Ocean Territory,Africa,0
Brunei,Asia,328000
Bulgaria,Europe,8190900
Burkina Faso,Africa,11937000
Burundi,Africa,6695000
Côte d’Ivoire,Africa,14786000
Cambodia,Asia,11168000
Cameroon,Africa,15085000
Canada,North America,31147000
Cape Verde,Africa,428000
Cayman Islands,North America,38000
Central African Republic,Africa,3615000
Chad,Africa,7651000
Chile,South America,15211000
China,Asia,1277558000
Christmas Island,Oceania,2500
Cocos (Keeling) Islands,Oceania,600
Colombia,South America,42321000
Comoros,Africa,578000
Congo,Africa,2943000
"Congo, The Democratic Republic of the",Africa,51654000
Cook Islands,Oceania,20000
Costa Rica,North America,4023000
Croatia,Europe,4473000
Cuba,North America,11201000
Cyprus,Asia,754700
Czech Republic,Europe,10278100
Denmark,Europe,5330000
Djibouti,Africa,638000
Dominica,North America,71000
Dominican Republic,North America,8495000
East Timor,Asia,885000
Ecuador,South America,12646000
Egypt,Africa,68470000
El Salvador,North America,6276000
Equatorial Guinea,Africa,453000
Eritrea,Africa,3850000
Estonia,Europe,1439200
Ethiopia,Africa,62565000
Falkland Islands,South America,2000
Faroe Islands,Europe,43000
Fiji Islands,Oceania,817000
Finland,Europe,5171300
France,Europe,59225700
French Guiana,South America,181000
French Polynesia,Oceania,235000
French Southern territories,Antarctica,0
Gabon,Africa,1226000
Gambia,Africa,1305000
Georgia,Asia,4968000
Germany,Europe,82164700
Ghana,Africa,20212000
Gibraltar,Europe,25000
Greece,Europe,10545700
Greenland,North America,56000
Grenada,North America,94000
Guadeloupe,North America,456000
Guam,Oceania,168000
Guatemala,North America,11385000
Guinea,Africa,7430000
Guinea-Bissau,Africa,1213000
Guyana,South America,861000
Haiti,North America,8222000
Heard Island and McDonald Islands,Antarctica,0
Holy See (Vatican City State),Europe,1000
Honduras,North America,6485000
Hong Kong,Asia,6782000
Hungary,Europe,10043200
Iceland,Europe,279000
India,Asia,1013662000
Indonesia,Asia,212107000
Iran,Asia,67702000
Iraq,Asia,23115000
Ireland,Europe,3775100
Israel,Asia,6217000
Italy,Europe,57680000
Jamaica,North America,2583000
Japan,Asia,126714000
Jordan,Asia,5083000
Kazakstan,Asia,16223000
Kenya,Africa,30080000
Kiribati,Oceania,83000
Kuwait,Asia,1972000
Kyrgyzstan,Asia,4699000
Laos,Asia,5433000
Latvia,Europe,2424200
Lebanon,Asia,3282000
Lesotho,Africa,2153000
Liberia,Africa,3154000
Libyan Arab Jamahiriya,Africa,5605000
Liechtenstein,Europe,32300
Lithuania,Europe,3698500
Luxembourg,Europe,435700
Macao,Asia,473000
Macedonia,Europe,2024000
Madagascar,Africa,15942000
Malawi,Africa,10925000
Malaysia,Asia,22244000
Maldives,Asia,286000
Mali,Africa,11234000
Malta,Europe,380200
Marshall Islands,Oceania,64000
Martinique,North America,395000
Mauritania,Africa,2670000
Mauritius,Africa,1158000
Mayotte,Africa,149000
Mexico,North America,98881000
"Micronesia, Federated States of",Oceania,119000
Moldova,Europe,4380000
Monaco,Europe,34000
Mongolia,Asia,2662000
Montserrat,North America,11000
Morocco,Africa,28351000
Mozambique,Africa,19680000
Myanmar,Asia,45611000
Namibia,Africa,1726000
Nauru,Oceania,12000
Nepal,Asia,23930000
Netherlands,Europe,15864000
Netherlands Antilles,North America,217000
New Caledonia,Oceania,214000
New Zealand,Oceania,3862000
Nicaragua,North America,5074000
Niger,Africa,10730000
Nigeria,Africa,111506000
Niue,Oceania,2000
Norfolk Island,Oceania,2000
North Korea,Asia,24039000
Northern Mariana Islands,Oceania,78000
Norway,Europe,4478500
Oman,Asia,2542000
Pakistan,Asia,156483000
Palau,Oceania,19000
Palestine,Asia,3101000
Panama,North America,2856000
Papua New Guinea,Oceania,4807000
Paraguay,South America,5496000
Peru,South America,25662000
Philippines,Asia,75967000
Pitcairn,Oceania,50
Poland,Europe,38653600
Portugal,Europe,9997600
Puerto Rico,North America,3869000
Qatar,Asia,599000
Réunion,Africa,699000
Romania,Europe,22455500
Russian Federation,Europe,146934000
Rwanda,Africa,7733000
Saint Helena,Africa,6000
Saint Kitts and Nevis,North America,38000
Saint Lucia,North America,154000
Saint Pierre and Miquelon,North America,7000
Saint Vincent and the Grenadines,North America,114000
Samoa,Oceania,180000
San Marino,Europe,27000
Sao Tome and Principe,Africa,147000
Saudi Arabia,Asia,21607000
Senegal,Africa,9481000
Seychelles,Africa,77000
Sierra Leone,Africa,4854000
Singapore,Asia,3567000
Slovakia,Europe,5398700
Slovenia,Europe,1987800
Solomon Islands,Oceania,444000
Somalia,Africa,10097000
South Africa,Africa,40377000
South Georgia and the South Sandwich Islands,Antarctica,0
South Korea,Asia,46844000
Spain,Europe,39441700
Sri Lanka,Asia,18827000
Sudan,Africa,29490000
Suriname,South America,417000
Svalbard and Jan Mayen,Europe,3200
Swaziland,Africa,1008000
Sweden,Europe,8861400
Switzerland,Europe,7160400
Syria,Asia,16125000
Taiwan,Asia,22256000
Tajikistan,Asia,6188000
Tanzania,Africa,33517000
Thailand,Asia,61399000
Togo,Africa,4629000
Tokelau,Oceania,2000
Tonga,Oceania,99000
Trinidad and Tobago,North America,1295000
Tunisia,Africa,9586000
Turkey,Asia,66591000
Turkmenistan,Asia,4459000
Turks and Caicos Islands,North America,17000
Tuvalu,Oceania,12000
Uganda,Africa,21778000
Ukraine,Europe,50456000
United Arab Emirates,Asia,2441000
United Kingdom,Europe,59623400
United States,North America,278357000
United States Minor Outlying Islands,Oceania,0
Uruguay,South America,3337000
Uzbekistan,Asia,24318000
Vanuatu,Oceania,190000
Venezuela,South America,24170000
Vietnam,Asia,79832000
"Virgin Islands, British",North America,21000
"Virgin Islands, U.S.",North America,93000
Wallis and Futuna,Oceania,15000
Western Sahara,Africa,293000
Yemen,Asia,18112000
Yugoslavia,Europe,10640000
Zambia,Africa,9169000
Zimbabwe,Africa,11669000