site,latitude,n,mean_mm,min_mm,max_mm,sd_mm,median_mm,date
GTM,30,28,12.4,7.55,14.9,1.80,12.6,2016-07-24
SI,31.4,30,9.85,6.64,13.6,1.79, 9.55,2016-07-26
NIB,33.3,30,13.3,8.52,17.3,2.42,13.3,2016-07-28
ZI,34,35,12.1,8.05,15.7,2.01,12.0,2016-07-29
RC,34.7,25,12.5,9.4,17.6,2.34,12.1,2016-08-01
VCR,37.2,30,16.3,11.7,21.4,2.94,16.0,2016-08-09
DB,39.1,30,15.6,11.5,20.4,2.12,15.1,2016-08-07
JC,39.6,30,15.3,9.58,20.9,2.72,15.4,2016-08-08
CT,41.3,33,14.7,11.0,19.5,2.36,15.5,2016-08-09
NB,41.6,29,17.1,13.2,21.9,2.29,17.2,2016-07-28
CC,41.9,27,16.8,10.6,19.8,2.05,16.7,2016-07-25
BC,42.2,37,16.2,9.01,23.4,4.81,17.3,2016-08-12
PIE,42.7,28,18.5,9.92,22.1,2.30,18.4,2016-08-13