Human,0,1,12,10,11,10,9,10,13,14,11,15,18
Monkey,1,0,11,9,10,9,8,11,12,13,10,14,17
Horse,12,11,0,3,6,5,6,7,11,13,10,11,14
Cow,10,9,3,0,3,2,4,6,9,11,8,9,11
Dog,11,10,6,3,0,3,5,7,10,11,8,9,12
Whale,10,9,5,2,3,0,2,6,9,10,7,8,11
Rabbit,9,8,6,4,5,2,0,6,8,9,6,9,11
Kangaroo,10,11,7,6,7,6,6,0,12,11,10,11,13
Chicken,13,12,11,9,10,9,8,12,0,3,3,8,11
Penguin,14,13,13,11,11,10,9,11,3,0,4,9,13
Duck,11,10,10,8,8,7,6,10,3,4,0,7,11
Turtle,15,14,11,9,9,8,9,11,8,9,7,0,10
Frog,18,17,14,11,12,11,11,13,11,13,11,10,0